(1,2,0,2,2,2,2,2),
(2,2,1,1,0,2,2,0),
(3,2,2,0,2,0,2,1),
(4,2,1,1,1,2,1,2),
(5,2,0,0,2,1,2,0),
(6,1,2,0,2,0,1,0),
(7,0,2,0,1,2,0,0),
(8,1,0,0,0,1,2,1),
(9,2,1,1,1,2,2,0),
(10,2,0,0,2,0,1,0),
(11,0,1,1,0,2,2,0),
(12,1,1,2,0,2,2,2),
(13,1,1,0,2,1,1,0),
(14,1,2,0,1,1,2,1),
(15,2,0,1,0,1,2,0),
(16,1,2,1,1,0,2,2),
(17,2,1,0,1,2,2,2),
(18,2,0,0,2,2,0,1),
(19,1,2,2,2,1,1,1),
(20,2,0,1,1,2,1,2),
(21,0,2,0,2,2,0,0),
(22,2,2,0,2,2,2,0),
(23,0,0,0,2,2,0,2),
(24,1,0,1,1,0,2,2),
(25,0,1,0,1,2,0,1),
(26,0,0,1,0,0,0,2),
(27,1,2,2,0,0,2,0),
(28,0,1,2,1,2,2,2),
(29,1,1,1,2,2,1,1),
(30,1,2,1,0,1,0,2),
(31,1,0,1,1,2,2,1),
(32,2,1,0,1,2,0,2),
(33,2,0,0,0,2,2,2),
(34,2,1,1,1,2,1,2),
(35,1,1,2,0,0,0,2),
(36,1,2,1,0,2,1,2),
(37,2,1,1,2,2,0,1),
(38,0,2,2,2,1,1,2),
(39,2,2,0,2,2,2,1),
(40,1,0,2,0,0,0,2),
(41,2,2,1,2,2,1,0),
(42,0,0,0,0,0,1,1),
(43,2,1,0,2,2,0,0),
(44,0,0,0,0,2,1,1),
(45,2,1,0,0,2,2,0),
(46,2,1,1,1,1,1,0),
(47,1,1,1,1,0,2,2),
(48,0,1,0,0,2,1,2),
(49,2,0,2,1,2,2,2),
(50,1,2,2,1,0,0,2),
(51,0,0,0,1,0,1,0),
(52,2,1,2,2,0,0,2),
(53,1,1,1,2,0,0,2),
(54,2,1,2,1,0,1,1),
(55,2,2,0,2,0,2,0),
(56,1,2,0,0,0,1,0),
(57,0,0,0,0,2,1,1),
(58,1,1,2,0,2,0,2),
(59,1,0,0,2,2,1,2),
(60,1,1,2,1,0,1,0),
(61,1,1,2,0,0,2,0),
(62,1,1,1,2,0,0,2),
(63,1,1,0,1,1,0,1),
(64,1,1,2,0,0,0,1),
(65,0,2,0,2,1,0,0),
(66,1,2,0,1,0,2,2),
(67,1,0,1,0,1,0,1),
(68,0,1,1,0,1,2,2),
(69,1,2,0,1,2,1,1),
(70,0,1,2,0,2,2,2),
(71,1,1,1,1,1,1,2),
(72,2,0,0,2,1,0,1),
(73,2,1,0,2,2,0,2),
(74,0,2,1,0,0,1,0),
(75,2,1,2,1,0,0,2),
(76,0,1,2,1,1,2,1),
(77,2,2,2,1,2,1,1),
(78,1,2,1,0,2,0,0),
(79,2,1,1,1,1,2,2),
(80,0,2,0,2,1,2,1),
(81,0,0,2,0,0,1,2),
(82,2,2,1,0,1,0,2),
(83,2,1,0,0,1,2,1),
(84,2,0,2,2,1,2,2),
(85,1,1,1,1,0,2,1),
(86,1,1,0,1,0,0,2),
(87,0,0,2,1,1,2,2),
(88,0,2,1,2,0,0,0),
(89,0,1,2,0,0,1,0),
(90,0,1,1,0,2,2,0),
(91,0,0,1,2,2,0,0),
(92,2,2,0,0,0,0,1),
(93,2,0,0,0,2,2,1),
(94,0,0,1,1,0,1,0),
(95,1,0,0,0,1,1,0),
(96,2,2,0,2,0,1,2),
(97,1,2,0,2,2,1,1),
(98,2,0,2,1,1,0,2),
(99,1,2,0,1,0,0,1),
(100,0,2,2,0,0,1,1),
(101,1,0,1,0,1,2,1),
(102,2,1,2,0,1,0,0),
(103,0,0,1,1,0,0,2),
(104,0,0,0,0,0,0,0),
(105,0,0,2,2,0,2,0),
(106,1,2,2,1,0,0,0),
(107,2,1,1,1,0,0,0),
(108,0,1,2,0,0,2,2),
(109,2,1,2,2,2,1,1),
(110,2,2,2,0,0,0,0),
(111,2,2,0,2,0,2,1),
(112,0,2,1,1,0,1,1),
(113,2,1,0,1,2,2,1),
(114,0,0,2,1,2,2,1),
(115,1,1,2,0,2,0,0),
(116,1,0,0,2,0,0,1),
